Year,Attribute,Value
1948,Fantasy,0
1948,Drama,2
1948,Action,5
1948,Comedy,3
1948,Documentary,0
1948,Family,1
1949,Horror,1
1949,Romance,1
1949,Fantasy,0
1949,Drama,7
1949,Action,4
1949,Comedy,4
1949,Documentary,0
1949,Family,0
1950,Horror,2
1950,Romance,0
1950,Fantasy,0
1950,Drama,3
1950,Action,3
1950,Comedy,2
1950,Documentary,2
1950,Family,1
1951,Horror,4
1951,Romance,1
1951,Fantasy,0
1951,Drama,10
1951,Action,1
1951,Comedy,3
1951,Documentary,0
1951,Family,1
1952,Horror,1
1952,Romance,2
1952,Fantasy,0
1952,Drama,3
1952,Action,5
1952,Comedy,3
1952,Documentary,1
1952,Family,0
1953,Horror,3
1953,Romance,1
1953,Fantasy,0
1953,Drama,9
1953,Action,2
1953,Comedy,6
1953,Documentary,0
1953,Family,1
1954,Horror,4
1954,Romance,0
1954,Fantasy,0
1954,Drama,5
1954,Action,7
1954,Comedy,2
1954,Documentary,1
1954,Family,0
1955,Horror,6
1955,Romance,0
1955,Fantasy,0
1955,Drama,5
1955,Action,5
1955,Comedy,5
1955,Documentary,0
1955,Family,1
1956,Horror,3
1956,Romance,0
1956,Fantasy,0
1956,Drama,14
1956,Action,4
1956,Comedy,2
1956,Documentary,0
1956,Family,0
1957,Horror,4
1957,Romance,0
1957,Fantasy,0
1957,Drama,13
1957,Action,2
1957,Comedy,5
1957,Documentary,0
1957,Family,0
1958,Horror,8
1958,Romance,1
1958,Fantasy,0
1958,Drama,4
1958,Action,3
1958,Comedy,2
1958,Documentary,2
1958,Family,0
1959,Horror,5
1959,Romance,1
1959,Fantasy,1
1959,Drama,3
1959,Action,4
1959,Comedy,4
1959,Documentary,2
1959,Family,0
1960,Horror,5
1960,Romance,0
1960,Fantasy,0
1960,Drama,4
1960,Action,8
1960,Comedy,7
1960,Documentary,1
1960,Family,0
1961,Horror,3
1961,Romance,1
1961,Fantasy,0
1961,Drama,8
1961,Action,6
1961,Comedy,5
1961,Documentary,0
1961,Family,0
1962,Horror,4
1962,Romance,0
1962,Fantasy,0
1962,Drama,7
1962,Action,7
1962,Comedy,1
1962,Documentary,0
1962,Family,1
1963,Horror,2
1963,Romance,0
1963,Fantasy,0
1963,Drama,3
1963,Action,8
1963,Comedy,5
1963,Documentary,0
1963,Family,1
1964,Horror,3
1964,Romance,1
1964,Fantasy,0
1964,Drama,5
1964,Action,5
1964,Comedy,5
1964,Documentary,1
1964,Family,0
1965,Horror,0
1965,Romance,1
1965,Fantasy,0
1965,Drama,11
1965,Action,7
1965,Comedy,10
1965,Documentary,0
1965,Family,3
1966,Horror,3
1966,Romance,2
1966,Fantasy,0
1966,Drama,10
1966,Action,7
1966,Comedy,1
1966,Documentary,3
1966,Family,0
1967,Horror,7
1967,Romance,0
1967,Fantasy,0
1967,Drama,5
1967,Action,11
1967,Comedy,10
1967,Documentary,0
1967,Family,1
1968,Horror,3
1968,Romance,0
1968,Fantasy,1
1968,Drama,10
1968,Action,9
1968,Comedy,4
1968,Documentary,1
1968,Family,0
1969,Horror,2
1969,Romance,1
1969,Fantasy,0
1969,Drama,4
1969,Action,7
1969,Comedy,6
1969,Documentary,0
1969,Family,0
1970,Horror,1
1970,Romance,1
1970,Fantasy,0
1970,Drama,5
1970,Action,11
1970,Comedy,4
1970,Documentary,3
1970,Family,1
1971,Horror,3
1971,Romance,0
1971,Fantasy,0
1971,Drama,8
1971,Action,13
1971,Comedy,2
1971,Documentary,0
1971,Family,2
1972,Horror,7
1972,Romance,1
1972,Fantasy,0
1972,Drama,4
1972,Action,10
1972,Comedy,6
1972,Documentary,0
1972,Family,1
1973,Horror,5
1973,Romance,0
1973,Fantasy,0
1973,Drama,5
1973,Action,12
1973,Comedy,6
1973,Documentary,0
1973,Family,2
1974,Horror,8
1974,Romance,0
1974,Fantasy,1
1974,Drama,7
1974,Action,6
1974,Comedy,3
1974,Documentary,0
1974,Family,0
1975,Horror,11
1975,Romance,0
1975,Fantasy,0
1975,Drama,8
1975,Action,7
1975,Comedy,10
1975,Documentary,1
1975,Family,0
1976,Horror,10
1976,Romance,0
1976,Fantasy,0
1976,Drama,6
1976,Action,8
1976,Comedy,8
1976,Documentary,4
1976,Family,1
1977,Horror,7
1977,Romance,0
1977,Fantasy,1
1977,Drama,7
1977,Action,12
1977,Comedy,2
1977,Documentary,1
1977,Family,3
1978,Horror,10
1978,Romance,1
1978,Fantasy,1
1978,Drama,10
1978,Action,10
1978,Comedy,5
1978,Documentary,0
1978,Family,1
1979,Horror,3
1979,Romance,2
1979,Fantasy,0
1979,Drama,15
1979,Action,16
1979,Comedy,8
1979,Documentary,2
1979,Family,2
1980,Horror,14
1980,Romance,1
1980,Fantasy,2
1980,Drama,10
1980,Action,16
1980,Comedy,10
1980,Documentary,2
1980,Family,0
1981,Horror,19
1981,Romance,1
1981,Fantasy,1
1981,Drama,11
1981,Action,21
1981,Comedy,12
1981,Documentary,1
1981,Family,3
1982,Horror,13
1982,Romance,1
1982,Fantasy,2
1982,Drama,13
1982,Action,14
1982,Comedy,17
1982,Documentary,4
1982,Family,1
1983,Horror,16
1983,Romance,4
1983,Fantasy,1
1983,Drama,14
1983,Action,12
1983,Comedy,16
1983,Documentary,1
1983,Family,2
1984,Horror,14
1984,Romance,1
1984,Fantasy,1
1984,Drama,20
1984,Action,25
1984,Comedy,20
1984,Documentary,5
1984,Family,0
1985,Horror,9
1985,Romance,0
1985,Fantasy,1
1985,Drama,10
1985,Action,33
1985,Comedy,26
1985,Documentary,2
1985,Family,5
1986,Horror,16
1986,Romance,3
1986,Fantasy,2
1986,Drama,14
1986,Action,29
1986,Comedy,30
1986,Documentary,0
1986,Family,6
1987,Horror,18
1987,Romance,2
1987,Fantasy,1
1987,Drama,22
1987,Action,26
1987,Comedy,28
1987,Documentary,0
1987,Family,4
1988,Horror,21
1988,Romance,4
1988,Fantasy,8
1988,Drama,19
1988,Action,22
1988,Comedy,30
1988,Documentary,1
1988,Family,8
1989,Horror,17
1989,Romance,3
1989,Fantasy,2
1989,Drama,18
1989,Action,30
1989,Comedy,29
1989,Documentary,1
1989,Family,2
1990,Horror,22
1990,Romance,0
1990,Fantasy,3
1990,Drama,13
1990,Action,28
1990,Comedy,26
1990,Documentary,1
1990,Family,1
1991,Horror,19
1991,Romance,4
1991,Fantasy,5
1991,Drama,27
1991,Action,31
1991,Comedy,31
1991,Documentary,3
1991,Family,0
1992,Horror,26
1992,Romance,2
1992,Fantasy,1
1992,Drama,22
1992,Action,24
1992,Comedy,20
1992,Documentary,3
1992,Family,7
1993,Horror,20
1993,Romance,5
1993,Fantasy,5
1993,Drama,36
1993,Action,36
1993,Comedy,23
1993,Documentary,4
1993,Family,9
1994,Horror,13
1994,Romance,4
1994,Fantasy,6
1994,Drama,16
1994,Action,28
1994,Comedy,30
1994,Documentary,2
1994,Family,8
1995,Horror,26
1995,Romance,5
1995,Fantasy,5
1995,Drama,29
1995,Action,41
1995,Comedy,24
1995,Documentary,2
1995,Family,7
1996,Horror,22
1996,Romance,5
1996,Fantasy,5
1996,Drama,31
1996,Action,30
1996,Comedy,43
1996,Documentary,4
1996,Family,9
1997,Horror,31
1997,Romance,1
1997,Fantasy,1
1997,Drama,43
1997,Action,45
1997,Comedy,34
1997,Documentary,0
1997,Family,5
1998,Horror,22
1998,Romance,12
1998,Fantasy,4
1998,Drama,32
1998,Action,41
1998,Comedy,51
1998,Documentary,3
1998,Family,9
1999,Horror,38
1999,Romance,9
1999,Fantasy,6
1999,Drama,48
1999,Action,37
1999,Comedy,47
1999,Documentary,4
1999,Family,11
2000,Horror,34
2000,Romance,9
2000,Fantasy,4
2000,Drama,45
2000,Action,39
2000,Comedy,36
2000,Documentary,2
2000,Family,15
2001,Horror,34
2001,Romance,4
2001,Fantasy,3
2001,Drama,42
2001,Action,60
2001,Comedy,45
2001,Documentary,3
2001,Family,9
2002,Horror,47
2002,Romance,8
2002,Fantasy,4
2002,Drama,55
2002,Action,48
2002,Comedy,50
2002,Documentary,4
2002,Family,8
2003,Horror,40
2003,Romance,3
2003,Fantasy,5
2003,Drama,41
2003,Action,61
2003,Comedy,50
2003,Documentary,6
2003,Family,11
2004,Horror,35
2004,Romance,7
2004,Fantasy,5
2004,Drama,60
2004,Action,56
2004,Comedy,68
2004,Documentary,11
2004,Family,15
2005,Horror,41
2005,Romance,7
2005,Fantasy,6
2005,Drama,72
2005,Action,54
2005,Comedy,65
2005,Documentary,5
2005,Family,11
2006,Horror,38
2006,Romance,6
2006,Fantasy,12
2006,Drama,80
2006,Action,64
2006,Comedy,71
2006,Documentary,8
2006,Family,16
2007,Horror,64
2007,Romance,3
2007,Fantasy,11
2007,Drama,73
2007,Action,69
2007,Comedy,71
2007,Documentary,9
2007,Family,19
2008,Horror,29
2008,Romance,7
2008,Fantasy,6
2008,Drama,97
2008,Action,67
2008,Comedy,66
2008,Documentary,8
2008,Family,17
2009,Horror,52
2009,Romance,8
2009,Fantasy,5
2009,Drama,81
2009,Action,77
2009,Comedy,84
2009,Documentary,9
2009,Family,14
2010,Horror,44
2010,Romance,13
2010,Fantasy,8
2010,Drama,90
2010,Action,75
2010,Comedy,79
2010,Documentary,14
2010,Family,18
2011,Horror,47
2011,Romance,4
2011,Fantasy,4
2011,Drama,92
2011,Action,77
2011,Comedy,72
2011,Documentary,12
2011,Family,17
2012,Horror,55
2012,Romance,7
2012,Fantasy,5
2012,Drama,66
2012,Action,79
2012,Comedy,63
2012,Documentary,14
2012,Family,19
2013,Horror,55
2013,Romance,16
2013,Fantasy,11
2013,Drama,84
2013,Action,77
2013,Comedy,68
2013,Documentary,13
2013,Family,19
2014,Horror,64
2014,Romance,15
2014,Fantasy,5
2014,Drama,83
2014,Action,72
2014,Comedy,63
2014,Documentary,7
2014,Family,24
2015,Horror,52
2015,Romance,18
2015,Fantasy,8
2015,Drama,89
2015,Action,75
2015,Comedy,62
2015,Documentary,10
2015,Family,13
2016,Horror,54
2016,Romance,16
2016,Fantasy,5
2016,Drama,90
2016,Action,113
2016,Comedy,59
2016,Documentary,16
2016,Family,19
2017,Horror,44
2017,Romance,14
2017,Fantasy,6
2017,Drama,93
2017,Action,111
2017,Comedy,61
2017,Documentary,14
2017,Family,22
2018,Horror,62
2018,Romance,8
2018,Fantasy,8
2018,Drama,63
2018,Action,110
2018,Comedy,47
2018,Documentary,10
2018,Family,19
2019,Horror,42
2019,Romance,10
2019,Fantasy,5
2019,Drama,58
2019,Action,65
2019,Comedy,43
2019,Documentary,15
2019,Family,20
2020,Horror,23
2020,Romance,4
2020,Fantasy,1
2020,Drama,15
2020,Action,28
2020,Comedy,30
2020,Documentary,7
2020,Family,14
2021,Horror,33
2021,Romance,3
2021,Fantasy,4
2021,Drama,39
2021,Action,45
2021,Comedy,12
2021,Documentary,6
2021,Family,17
2022,Horror,41
2022,Romance,2
2022,Fantasy,4
2022,Drama,29
2022,Action,42
2022,Comedy,19
2022,Documentary,2
2022,Family,16
2023,Horror,25
2023,Romance,3
2023,Fantasy,2
2023,Drama,13
2023,Action,29
2023,Comedy,19
2023,Documentary,2
2023,Family,12
